"Agency_ID","Pax_ID","Booking_ID","Ar_Trans_ID","agt_id","ar_Tran_Date","ar_Tran_time","ar_Mode","ar_oper","ar_flight_num","ar_class","ar_dep_date","ar_arr_Date","ar_dep_city","ar_arr_city","ar_dep_time","ar_arr_time","ar_maj_orig","ar_maj_dest","ar_base_Val","ar_tax_Val","ar_ttl_Comm","ar_tkt_num","ar_conf_num","ar_exch","ar_exch_Val","ar_exch_orig","ar_hi_fare","ar_lo_fare","ar_reason","ar_inv_Num","ar_pax_count"
"91282774","98434","2","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297492","1"
"91282774","98434","2","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","6297492","1"
"91282774","98440","1","1","SP","20170202","0000","A","VS","VS23","H","20170305","","LHR","LAX","1530","1840","LHR","LAX","1340.4","466.17","300.4","1133338126","XNT1FG","N","0","","1806.57","1806.57","LFOA","6297494","1"
"91282774","98440","1","1","SP","20170202","0000","A","VS","VS8","S","20170311","","LAX","LHR","1745","1200","LHR","LAX","1340.4","466.17","300.4","1133338126","XNT1FG","N","0","","1806.57","1806.57","LFOA","6297494","1"
"91282774","96202","2","4","KD","20170203","0000","A","LO","LO282","U","20170206","","LHR","WAW","1025","1355","LHR","SZZ","23","0","0","1820760732","wpjlte","N","0","","23","23","SEAT","6297500","2"
"91282774","88668","13","1","TR","20170203","0000","A","BE","BE7127","","20170201","","BHX","STR","1640","","BHX","STR","627.8","0","49.99","<none>","BYQ9K2/Flybe","N","0","","627.8","627.8","LOW","6297501","2"
"91282774","88668","13","1","TR","20170203","0000","A","BE","BE7128","","20170202","","STR","BHX","2010","","BHX","STR","627.8","0","49.99","<none>","BYQ9K2/Flybe","N","0","","627.8","627.8","LOW","6297501","2"
"91282774","98442","2","1","TR","20170203","0000","A","BE","BE7127","","20170201","","BHX","STR","1640","","BHX","STR","154.54","0","0","<none>","BYQ9K2","N","0","","154.54","154.54","ADC","6297502","1"
"91282774","98442","2","1","TR","20170203","0000","A","BE","BE7128","","20170202","","STR","BHX","2010","","BHX","STR","154.54","0","0","<none>","BYQ9K2","N","0","","154.54","154.54","ADC","6297502","1"
"91282774","81567","51","1","TG","20170202","0000","A","TK","TK1984","J","20170213","","LHR","IST","2235","0515","LHR","IAH","1549","618.77","0","1133338127","XKWX6S","N","0","","2167.77","2167.77","LFOA","6297504","1"
"91282774","81567","51","1","TG","20170202","0000","A","TK","TK33","J","20170214","","IST","IAH","1445","1920","LHR","IAH","1549","618.77","0","1133338127","XKWX6S","N","0","","2167.77","2167.77","LFOA","6297504","1"
"91282774","81567","51","1","TG","20170202","0000","A","TK","TK34","J","20170221","","IAH","IST","2100","1745","LHR","IAH","1549","618.77","0","1133338127","XKWX6S","N","0","","2167.77","2167.77","LFOA","6297504","1"
"91282774","81567","51","1","TG","20170202","0000","A","TK","TK1971","J","20170223","","IST","LHR","1455","1615","LHR","IAH","1549","618.77","0","1133338127","XKWX6S","N","0","","2167.77","2167.77","LFOA","6297504","1"
"91282774","81567","52","1","TG","20170202","0000","A","AA","AA647","G","20170215","","IAH","PHX","0805","1013","IAH","PHX","341","48.2","0","1133338128","XKWX6S","N","0","","389.2","389.2","LFOA","6297505","1"
"91282774","81567","52","1","TG","20170202","0000","A","AA","AA477","G","20170215","","PHX","IAH","1955","2329","IAH","PHX","341","48.2","0","1133338128","XKWX6S","N","0","","389.2","389.2","LFOA","6297505","1"
"91282774","93083","4","1","TG","20170202","0000","A","TK","TK626","K","20170213","","LOS","IST","2245","0720","LOS","IAH","2698","705.1","0","1133338129","XM0PK4","N","0","","3403.1","3403.1","LFOA","6297506","1"
"91282774","93083","4","1","TG","20170202","0000","A","TK","TK33","K","20170214","","IST","IAH","1445","1920","LOS","IAH","2698","705.1","0","1133338129","XM0PK4","N","0","","3403.1","3403.1","LFOA","6297506","1"
"91282774","93083","4","1","TG","20170202","0000","A","TK","TK34","K","20170221","","IAH","IST","2100","1745","LOS","IAH","2698","705.1","0","1133338129","XM0PK4","N","0","","3403.1","3403.1","LFOA","6297506","1"
"91282774","93083","4","1","TG","20170202","0000","A","TK","TK625","K","20170223","","IST","LOS","1550","2115","LOS","IAH","2698","705.1","0","1133338129","XM0PK4","N","0","","3403.1","3403.1","LFOA","6297506","1"
"91282774","76225","2","1","JC","20170203","0000","A","YY","YY511","Y","20170421","","BHX","GCI","1425","1530","BHX","GCI","201.85","0","0","<none>","CKRV2J","N","0","","201.85","201.85","LOW","6297511","1"
"91282774","76225","2","1","JC","20170203","0000","A","YY","YY512","Y","20170424","","GCI","BHX","1550","1740","BHX","GCI","201.85","0","0","<none>","CKRV2J","N","0","","201.85","201.85","LOW","6297511","1"
"91282774","66816","62","1","JC","20170203","0000","A","YY","YY511","Y","20170421","","BHX","GCI","1425","1530","BHX","GCI","96.98","0","0","<none>","CKR335","N","0","","96.98","96.98","LOW","6297512","1"
"91282774","97966","4","1","TG","20170113","0000","A","YY","YY196","J","20170303","","IAH","LHR","2130","1225","IAH","LHR","0","0","0","<none>","J5JSFH","N","0","","","","","","1"
"91282774","70017","17","5","JC","20170203","0000","A","GR","GR601","Y","20170211","","LGW","GCI","0835","0940","LGW","GCI","75","0","0","<none>","lxbmph","N","0","","75","75","ADC","6297516","1"
"91282774","70017","17","5","JC","20170203","0000","A","GR","GR606","Y","20170212","","GCI","LGW","1450","1550","LGW","GCI","75","0","0","<none>","lxbmph","N","0","","75","75","ADC","6297516","1"
"91282774","93083","5","1","TG","20170203","0000","A","EK","EK783","C","20170207","","DXB","LOS","1030","1540","DXB","LOS","2543","621.2","0","1133338131","3CBSGW","N","0","","3164.2","3164.2","LFOA","6297517","1"
"91282774","93083","5","1","TG","20170203","0000","A","EK","EK784","I","20170331","","LOS","DXB","1755","0445","DXB","LOS","2543","621.2","0","1133338131","3CBSGW","N","0","","3164.2","3164.2","LFOA","6297517","1"
"91282774","93083","6","1","TG","20170202","0000","A","AA","AA647","G","20170215","","IAH","PHX","0805","1013","IAH","PHX","341","48.2","0","1133338130","XM0PK4","N","0","","389.2","389.2","LFOA","6297518","1"
"91282774","93083","6","1","TG","20170202","0000","A","AA","AA477","G","20170215","","PHX","IAH","1955","2329","IAH","PHX","341","48.2","0","1133338130","XM0PK4","N","0","","389.2","389.2","LFOA","6297518","1"
"91282774","97966","5","1","TG","20170113","0000","A","YY","YY103","J","20170219","","LHR","YYC","1535","1755","LHR","YYC","351.97","0","0","<none>","J7WC47","N","0","","0","0","","6297519","1"
"91282774","79850","6","1","PS","20170202","0000","A","UA","UA4256","V","20170221","","TAM","IAH","0710","0902","TAM","MSY","409","125.2","0","1133338135","XPN0M4","N","0","","534.2","534.2","LFOA","6297523","1"
"91282774","79850","6","1","PS","20170202","0000","A","UA","UA2010","V","20170221","","IAH","MSY","1125","1233","TAM","MSY","409","125.2","0","1133338135","XPN0M4","N","0","","534.2","534.2","LFOA","6297523","1"
