"Agency_ID","Pax_ID","booking_id","Tran_id","Inv_Type","Inv_Tran_Date","Inv_Tran_Time","Inv_Val","inv_num"
"91282774","32339","25","2","I","20170203","140056","3.5","6297556"
"91282774","60764","73","2","I","20170203","140133","48.75","6297558"
"91282774","96631","6","1","I","20170203","140243","162","6297559"
"91282774","96631","6","2","I","20170203","140243","3.5","6297559"
"91282774","60764","74","1","I","20170203","140533","49","6297561"
"91282774","73133","25","1","I","20170203","140448","289.4","6297560"
"91282774","73133","25","2","I","20170203","140448","3.5","6297560"
"91282774","60764","74","2","I","20170203","140533","25","6297561"
"91282774","78678","3","3","I","20170203","140859","261.81","6297562"
"91282774","24823","89","1","I","20170203","141143","185.03","6297563"
"91282774","24823","89","2","I","20170203","141143","20","6297563"
"91282774","95915","14","1","I","20170203","141519","1178.23","6297564"
"91282774","95915","14","2","I","20170203","141519","23.57","6297564"
"91282774","87942","22","1","I","20170203","143234","362.5","6297565"
"91282774","87942","22","2","I","20170203","143234","25","6297565"
"91282774","15301","94","1","I","20170203","143235","172","6297566"
"91282774","76265","8","1","I","20170203","143351","25","6297568"
"91282774","98448","1","1","I","20170203","143343","187.2","6297567"
"91282774","98448","1","2","I","20170203","143343","25","6297567"
"91282774","75793","75","1","I","20170203","143816","75.46","6297569"
"91282774","75793","75","2","I","20170203","143816","20","6297569"
"91282774","64823","55","3","I","20170203","144620","28.96","6297570"
"91282774","97957","2","1","I","20170203","150114","653.44","6297571"
"91282774","97957","2","1","I","20170203","150346","1859","6297572"
"91282774","97957","2","2","I","20170203","150114","19","6297571"
"91282774","97957","2","3","I","20170203","150114","16.81","6297571"
"91282774","97957","2","4","I","20170203","150346","19","6297572"
"91282774","86288","17","1","I","20170203","150418","316","6297573"
"91282774","86288","17","1","I","20170203","150705","0","0"
"91282774","86288","17","1","I","20170203","150705","0","0"
"91282774","96501","3","1","I","20170203","150610","125","6297574"
"91282774","96501","3","2","I","20170203","150610","5","6297574"
"91282774","91321","10","1","I","20170203","151424","165","6297576"
"91282774","91321","10","2","I","20170203","151424","3.5","6297576"
"91282774","98450","1","1","I","20170203","151800","162.84","6297577"
"91282774","98450","1","2","I","20170203","151800","20","6297577"
"91282774","15417","48","1","I","20170203","151936","170.05","6297578"
"91282774","15417","48","2","I","20170203","151936","3.5","6297578"
"91282774","98105","2","1","I","20170203","152951","366.6","6297579"
"91282774","98105","2","2","I","20170203","152951","35","6297579"
"91282774","76529","146","1","I","20170203","153429","158.94","6297580"
"91282774","37333","145","3","I","20170203","153530","60","6297581"
"91282774","37333","145","4","I","20170203","153530","10","6297581"
"91282774","75238","108","1","I","20170203","153836","177.7","6297582"
"91282774","75238","108","2","I","20170203","153836","15","6297582"
"91282774","98105","3","1","I","20170203","154122","735.1","6297583"
"91282774","98105","3","2","I","20170203","154122","35","6297583"
"91282774","98451","1","2","I","20170203","155110","20","6297584"
"91282774","98451","1","3","I","20170203","155110","0","6297584"
"91282774","98435","2","1","I","20170203","160303","1317.14","6297587"
"91282774","75378","139","1","I","20170203","160018","146","6297585"
"91282774","75378","139","2","I","20170203","160018","3.5","6297585"
"91282774","74592","121","4","I","20170203","160114","178.99","6297586"
"91282774","98453","1","1","I","20170203","160556","165","6297588"
"91282774","98453","1","2","I","20170203","160556","3.5","6297588"
"91282774","69346","83","1","I","20170203","160729","367.55","6297589"
"91282774","69346","83","2","I","20170203","160729","15","6297589"
"91282774","44861","8","1","I","20170203","160842","60.1","6297591"
"91282774","44861","8","1","I","20170203","160944","0","0"
"91282774","71531","78","1","I","20170203","160832","367.55","6297590"
"91282774","71531","78","2","I","20170203","160832","15","6297590"
"91282774","96315","4","1","I","20170203","160953","142.28","6297592"
"91282774","96315","4","2","I","20170203","160953","25","6297592"
"91282774","96315","4","3","I","20170203","160953","0","6297592"
"91282774","88854","78","1","I","20170203","161114","177.14","6297594"
"91282774","93062","6","1","I","20170203","161056","142.28","6297593"
"91282774","93062","6","2","I","20170203","161056","25","6297593"
"91282774","93062","6","3","I","20170203","161056","0","6297593"
"91282774","97904","2","1","I","20170203","161410","4625.17","6297595"
"91282774","87897","66","1","I","20170203","161533","43","6297596"
"91282774","87897","66","2","I","20170203","161533","4","6297596"
"91282774","94036","10","1","I","20170203","161846","190.82","6297597"
"91282774","94036","10","1","I","20170203","162012","0","0"
"91282774","85717","11","1","I","20170203","162157","3297.3","6297598"
"91282774","85717","11","2","I","20170203","162157","35","6297598"
"91282774","85717","11","3","I","20170203","162157","0","6297598"
"91282774","94036","11","1","I","20170203","162650","381.64","6297599"
"91282774","94036","11","1","I","20170203","162822","0","0"
"91282774","41954","123","1","I","20170203","162737","594.84","6297600"
"91282774","41954","123","2","I","20170203","162737","15","6297600"
"91282774","98454","1","1","I","20170203","163406","85.7","6297601"
"91282774","98454","1","2","I","20170203","163406","25","6297601"
"91282774","98454","1","3","I","20170203","163406","0","6297601"
"91282774","75238","109","1","I","20170203","163704","1518.8","6297602"
"91282774","75238","109","2","I","20170203","163704","25","6297602"
"91282774","98455","1","1","I","20170203","163803","375.5","6297603"
"91282774","98455","1","2","I","20170203","163803","25","6297603"
"91282774","98455","1","3","I","20170203","163803","0","6297603"
"91282774","90981","11","1","I","20170203","163915","129","6297604"
"91282774","90981","11","2","I","20170203","163915","3.5","6297604"
"91282774","96631","7","1","I","20170203","164027","129","6297605"
"91282774","96631","7","2","I","20170203","164027","3.5","6297605"
"91282774","97985","3","1","I","20170203","164128","407.8","6297606"
"91282774","97985","3","2","I","20170203","164128","20","6297606"
"91282774","97985","3","3","I","20170203","164128","0","6297606"
"91282774","75238","110","1","I","20170203","164225","222","6297607"
"91282774","75238","110","2","I","20170203","164225","0","6297607"
"91282774","96331","3","1","I","20170203","165350","66","6297609"
"91282774","96331","3","2","I","20170203","165350","5","6297609"
"91282774","88816","12","1","I","20170203","165349","60.5","6297610"
"91282774","88816","12","2","I","20170203","165349","4","6297610"
"91282774","74527","39","2","I","20170203","165610","12","6297611"
"91282774","96776","5","1","I","20170203","170123","198.95","6297612"
"91282774","96776","5","2","I","20170203","170123","25","6297612"
"91282774","79285","17","1","I","20170203","170241","891.8","6297613"
"91282774","79285","17","2","I","20170203","170241","40","6297613"
"91282774","87955","8","2","I","20170203","170309","12","6297614"
"91282774","81567","53","1","I","20170203","170611","549.1","6297615"
"91282774","81567","53","2","I","20170203","170611","35","6297615"
"91282774","81567","53","3","I","20170203","170611","0","6297615"
"91282774","81567","54","1","I","20170203","170802","243.8","6297616"
"91282774","81567","54","2","I","20170203","170802","25","6297616"
"91282774","81567","54","3","I","20170203","170802","0","6297616"
"91282774","97753","3","1","I","20170203","171144","212.12","6297617"
"91282774","97753","3","2","I","20170203","171144","20","6297617"
"91282774","79990","43","1","I","20170203","171542","90.03","6297618"
"91282774","79990","43","2","I","20170203","171542","20","6297618"
"91282774","97948","2","1","I","20170203","171952","132.78","6297619"
"91282774","97948","2","2","I","20170203","171952","20","6297619"
"91282774","93525","5","1","I","20170203","172250","28.7","6297621"
"91282774","88791","16","1","I","20170203","172243","119.92","6297620"
"91282774","88791","16","2","I","20170203","172243","0","6297620"
"91282774","88791","16","3","I","20170203","172243","0","6297620"
"91282774","88791","16","4","I","20170203","172243","0","6297620"
"91282774","88791","16","5","I","20170203","172243","0","6297620"
"91282774","98458","1","1","I","20170203","172353","303.64","6297622"
"91282774","98458","1","2","I","20170203","172406","16","6297624"
"91282774","89872","11","1","I","20170203","172352","119.92","6297623"
"91282774","89872","11","2","I","20170203","172352","0","6297623"
"91282774","89872","11","3","I","20170203","172352","0","6297623"
"91282774","89872","11","4","I","20170203","172352","0","6297623"
"91282774","89872","11","5","I","20170203","172352","0","6297623"
"91282774","94673","13","1","I","20170203","172732","81.43","6297625"
"91282774","94673","13","2","I","20170203","172732","20","6297625"
"91282774","75793","76","1","I","20170203","173002","171.08","6297626"
"91282774","75793","76","2","I","20170203","173002","20","6297626"
"91282774","98459","1","1","I","20170203","174214","111.5","6297627"
"91282774","98459","1","2","I","20170203","174214","5","6297627"
"91282774","98454","1","4","I","20170203","174824","38.5","6297628"
